id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,grammar_type,difficulty_level,created_at,updated_at
63caa717-1db8-4e4a-bd47-14fa5f7744da,"If I _____ you, I would study harder.",am,was,were,is,C,"정답은 C입니다. 가정법 과거를 사용할 때는 주어 뒤에 'were'를 사용합니다. 문장 전체는 ‘만약 내가 당신이었더라면’이라는 가정의 의미를 담고 있습니다. A 'am'은 현재형, B 'was'는 과거형이지만 가정법 과거에는 적합하지 않습니다. D 'is'는 현재형입니다. 예시: ‘If I were rich, I would buy a big house.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
d0206a81-4551-40e2-badd-1b1f142ddf01,"If it _____ rain tomorrow, we won't go to the park.",will,would,is,has,B,"정답은 B입니다. 가정법 과거를 사용할 때는 ‘would’를 사용합니다. 문장 전체는 ‘만약 비가 온다면’이라는 가정의 의미를 담고 있습니다. A 'will'은 미래시제입니다. C 'is'는 현재형입니다. D 'has'는 완료 시제입니다. 예시: ‘If she were tired, she would go to bed early.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
2c4c1d95-6117-4502-a976-c6557a8c75b2,"If I _____ a car, I would travel around the world.",have,had,has,having,B,"정답은 B입니다. 가정법 과거를 사용할 때는 주어 뒤에 ‘had’를 사용합니다. 문장 전체는 ‘만약 내가 차가 있었다면’이라는 가정의 의미를 담고 있습니다. A 'have'는 현재형입니다. C 'has'는 현재 완료 시제입니다. D 'having'은 동명사로 사용되어 부적절합니다. 예시: ‘If he were a doctor, he would help many people.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
2854f2ef-3fe9-4994-ae80-b6a52f4c4472,"If you _____ me, I would be happy.",love,loved,loving,will love,B,"정답은 B입니다. 가정법 과거를 사용할 때는 주어 뒤에 ‘had’를 사용합니다. 문장 전체는 ‘만약 당신이 나를 좋아한다면’이라는 가정의 의미를 담고 있습니다. A 'love'는 현재형입니다. C 'loving'은 동명사로 사용되어 부적절합니다. D 'will love'는 미래시제입니다. 예시: ‘If she had a pet, she would take it for walks.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
7b35ee8c-631e-48ba-8724-24221953f9af,"If I _____ time, I would learn to play the guitar.",have,had,having,will have,B,"정답은 B입니다. 가정법 과거를 사용할 때는 주어 뒤에 ‘had’를 사용합니다. 문장 전체는 ‘만약 내가 시간이 있다면’이라는 가정의 의미를 담고 있습니다. A 'have'는 현재형입니다. C 'having'은 동명사로 사용되어 부적절합니다. D 'will have'는 미래시제입니다. 예시: ‘If he had more money, he would buy a new car.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
cd5036c5-ab0a-4e0c-b646-7681be4ca7f0,They _____ to the park last weekend.,go,went,goes,going,B,"정답은 B입니다. 'last weekend'는 과거를 나타내므로, 과거 시제를 사용해야 합니다. 'went'가 맞습니다. A 'go'는 현재시제입니다. C 'goes'는 3인칭 단수 현재 시제입니다. D 'going'은 현재진행형입니다. 예시: ‘They went to the beach last summer.’",Tenses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
6b09dbd3-b232-41d8-a37b-11519a6a2e56,The book _____ on the table is mine.,is lying,was lying,lay,lies,A,"정답은 A입니다. 이 문장은 관계대명사 'which'를 사용하여 책을 설명하고 있습니다. ‘which’는 명사를 수식하며, 이 경우 'book'을 수식합니다. 관계대명사 ‘which’는 현재분사 형태인 'lying'을 취하여 책이 테이블 위에 놓여 있는 상태를 나타냅니다. A 'is lying'은 현재진행형으로, 책이 지금 이 순간 테이블 위에 놓여 있는 상태를 나타냅니다. B 'was lying'은 과거형으로, 과거의 특정 시점에 책이 테이블 위에 놓여 있었음을 나타냅니다. C 'lay'은 과거형 동사로, 책이 놓여 있는 상태를 나타내지만 현재 상황을 설명하기에는 부적절합니다. D 'lies'는 3인칭 단수 현재형으로, 책의 일반적인 상태를 설명하기에는 부적절합니다. 예시: ‘The car which is red belongs to me.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
89a0a8a3-b326-4e74-8efd-f95c82899bbe,This is the house _____ I grew up in.,that,which,where,whose,B,"정답은 B입니다. 이 문장은 관계대명사 ‘which’를 사용하여 집을 설명하고 있습니다. ‘which’는 명사를 수식하며, 이 경우 'house'를 수식합니다. 관계대명사 ‘which’는 일반적으로 명사의 위치를 설명할 때 사용됩니다. A 'that'은 주로 사람이나 사물의 특징을 설명할 때 사용합니다. C 'where'는 장소를 나타낼 때 사용됩니다. D 'whose'는 소유격을 나타내는 데 사용됩니다. 예시: ‘The book which he read was interesting.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
262df18e-9e3d-42f5-93da-610f7a2c7a15,The man _____ I saw yesterday is a doctor.,whom,which,that,who,D,"정답은 D입니다. 이 문장은 관계대명사 ‘who’를 사용하여 남자를 설명하고 있습니다. ‘who’는 사람을 수식하는 데 사용됩니다. A 'whom'은 목적격 대명사로, 목적어 뒤에 위치합니다. B 'which'는 사물을 수식하는 데 사용됩니다. C 'that'은 주로 사람이나 사물의 특징을 설명할 때 사용합니다. 예시: ‘The woman who lives next door is friendly.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
9c077c27-35bd-4276-86c1-d48ff83be123,The car _____ I bought is very fast.,which,that,where,whose,B,정답은 B입니다. 이 문장은 관계대명사 ‘that’을 사용하여 자동차를 설명하고 있습니다. ‘that’은 일반적으로 사물을 수식하는 데 사용됩니다. A 'which'는 사람을 수식하는 데 사용됩니다. C 'where'는 장소를 나타낼 때 사용됩니다. D 'whose'는 소유격을 나타내는 데 사용됩니다. 예시: ‘The book that I read was exciting.’,Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
414fdb90-8fab-4c5e-9de9-2cc27cac9286,This is the restaurant _____ we had dinner last night.,which,that,where,whose,B,정답은 B입니다. 이 문장은 관계대명사 ‘that’을 사용하여 레스토랑을 설명하고 있습니다. ‘that’은 일반적으로 사물을 수식하는 데 사용됩니다. A 'which'는 사람을 수식하는 데 사용됩니다. C 'where'는 장소를 나타낼 때 사용됩니다. D 'whose'는 소유격을 나타내는 데 사용됩니다. 예시: ‘The movie that we watched was fantastic.’,Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
73717193-c9cb-4514-89f0-84d98499a87d,She _____ to school every day.,go,goes,going,gone,B,"정답은 B입니다. 주어 'She'는 3인칭 단수이므로 현재시제 동사 'goes'를 사용합니다.  A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'He goes to work by bus.', 'They go home together.'",Gerunds,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
9ec2b158-f8d1-4f85-9a83-30d3996caba6,I enjoy _____ to the movies with my friends.,go,going,went,gone,B,"정답은 B입니다. 동명사 'going'은 목적 뒤에 위치하여 명사적인 역할을 합니다.  A 'go'는 동사입니다. C 'went'는 과거형 동사입니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'I like reading books.', 'She enjoys swimming.'",Gerunds,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
bae46dc6-bd8f-4a7e-8d28-3e58eaa3f4d9,He stopped _____ a book when he heard the news.,read,reading,to read,readed,B,"정답은 B입니다. 동명사 'reading'은 문장 속에서 동작을 나타내는 형용사로 사용됩니다. A 'read'는 동사입니다. C 'to read'는 to + 동명사로 사용되는 형태이며, 여기서는 부적절합니다. D 'readed'는 과거분사로 사용될 수 없으며, 현재완전 시제에 사용됩니다. 예시: 'She is interested in reading poetry.', 'He stopped smoking last year.'",Gerunds,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
e1a16bee-f62f-456e-9fee-4e77b6487d4c,She _____ English for two hours every day.,study,studies,is studying,studied,B,"정답은 B입니다. 주어 'She'는 3인칭 단수이므로 현재시제 동사 'studies'를 사용합니다. A 'study'는 동사입니다. C 'is studying'은 현재진행형이며, 여기서는 부적절합니다. D 'studied'는 과거형 동사입니다. 예시: 'He studies hard.', 'They study together.'",Gerunds,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
47fe8874-cd4e-423d-bc8a-b99ad257ccb4,"He stopped _____ a car, because he didn't have money.",buy,buying,bought,to buy,B,"정답은 B입니다. 동명사 'buying'은 문장 속에서 동작을 나타내는 형용사로 사용됩니다. A 'buy'는 동사입니다. C 'bought'는 과거형 동사입니다. D 'to buy'는 to + 동명사로 사용되는 형태이며, 여기서는 부적절합니다. 예시: 'She enjoys painting.', 'He stopped smoking last year.'",Gerunds,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
2c1f8b2b-acfe-42d6-94ad-c90d37a25f22,She _____ to school every day.,go,goes,going,gone,B,"정답은 B입니다. 'She'는 3인칭 단수 주어이므로, 현재시제 동사에는 '-s'를 붙여 'goes'를 사용합니다. A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'He goes to work by bus.', 'They go home together.'",Infinitives,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
ab08af12-d794-4504-a3b5-69e4106cfb1c,I regret _____ so much money last year.,spending,spend,spent,to spend,D,"정답은 D입니다. 'regret' 뒤에는 to 부정사를 사용합니다.  to 부정사는 후행 동사로, 주로 후행 동사 앞에 위치하여 목적어를 취합니다. A 'spending'은 현재분사와 사용됩니다. B 'spend'는 동사로, to 부정사 없이 사용됩니다. C 'spent'는 과거분사로, 과거 시제와 함께 사용됩니다. 예시: ‘I regret to tell you that your application has been rejected.’",Infinitives,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
b1cc7428-36b8-4a8a-afbd-548079e4fa5f,He wants _____ a new car.,buy,buying,bought,to buy,D,"정답은 D입니다. 'want' 뒤에는 to 부정사를 사용합니다. to 부정사는 후행 동사로, 주로 후행 동사 앞에 위치하여 목적어를 취합니다. A 'buy'는 동사로, to 부정사 없이 사용됩니다. B 'buying'은 현재분사와 사용됩니다. C 'bought'는 과거분사로, 과거 시제와 함께 사용됩니다. 예시: ‘I need to buy a new shirt.’",Infinitives,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
20010fc1-cf0b-49e4-b82e-266ff65c0edc,Please tell me _____ you are going.,where,wherever,which,when,D,"정답은 D입니다. 'tell' 뒤에는 to 부정사를 사용합니다.  to 부정사는 후행 동사로, 주로 후행 동사 앞에 위치하여 목적어를 취합니다. A 'where'는 관계대명사로, 명사를 수식합니다. B 'wherever'는 관계대명사의 최상급형으로, 특정 장소를 나타낼 때 사용됩니다. C 'which'는 관계대명사로, 명사를 수식합니다. 예시: ‘Please tell me when you will arrive.’",Infinitives,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
5fcbae59-3b08-4366-9f9a-79a4a71a8468,I decided _____ a book.,read,reading,to read,readed,C,"정답은 C입니다. 'decide' 뒤에는 to 부정사를 사용합니다.  to 부정사는 후행 동사로, 주로 후행 동사 앞에 위치하여 목적어를 취합니다. A 'read'는 동사로, to 부정사 없이 사용됩니다. B 'reading'은 현재분사와 사용됩니다. C 'to read'는 to 부정사로, 후행 동사 앞에 위치하여 목적어를 취합니다. 예시: ‘I decided to read a book.’",Infinitives,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
4e257a01-31d5-4b0d-a6b7-a41d1602efd6,The dog _____ quickly when it saw the ball.,run,running,ran,runs,B,"정답은 B입니다. 'running'은 현재분사를 사용하여 과거에 일어난 동작을 나타냅니다. 주절 'saw'는 과거형이므로, 여기서는 과거분사 형태인 'running'을 사용합니다. A 'run'은 현재형 동사입니다. C 'ran'은 과거형 동사로, 주절이 현재형일 때 사용됩니다. D 'runs'는 현재형 동사입니다. 예시: ‘The children were playing when I arrived.’",Participles,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
1408f623-27d4-41b9-9bc5-1e883117ff63,"The book _____ interesting, so I read it all night.",is,was,be,were,B,"정답은 B입니다. 'was'는 과거 시제 분사로, 과거에 일어난 상태나 동작을 나타냅니다. 주절 'I read'는 과거형이므로, 여기서는 과거분사 형태인 'was reading'를 사용합니다. A 'is'는 현재형 동사입니다. C 'be'는 영어에서 사용되지 않습니다. D 'were'는 복수주어에 사용됩니다. 예시: ‘The food was delicious.’",Participles,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
186aeaad-85e7-4ec2-a157-6d7b5b0962bf,The house _____ a beautiful garden.,have,has,having,had,B,"정답은 B입니다. 'has'는 3인칭 단수 주어 'The house'에 사용되는 현재분사입니다. A 'have'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'having'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'had'는 과거분사로 완료시제에 사용됩니다. 예시: ‘The car has a broken wheel.’",Participles,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
a78924b3-7eab-407d-b243-b550af7ef6f6,The children _____ playing in the park.,are,were,is,been,B,"정답은 B입니다. 'were'는 과거 시제 분사로, 과거에 일어난 동작을 나타냅니다. 주절 'The children'는 복수주어이므로, 과거 시제 분사 형태인 'were playing'를 사용합니다. A 'are'는 현재형 동사입니다. C 'is'는 단수주어에 사용됩니다. D 'been'은 완료시제에 사용됩니다. 예시: ‘The students were studying when the teacher arrived.’",Participles,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
7bc499bf-3f21-4831-b55a-aee3259849dc,"The food _____ delicious, so I ate it all.",tastes,smelled,taste,smells,B,"정답은 B입니다. 'smelled'는 과거분사로, 과거에 일어난 경험이나 감각을 나타냅니다. 주절 'I felt'는 과거형이므로, 여기서는 과거분사 형태인 'smelled'를 사용합니다. A 'tastes'는 현재형 동사입니다. C 'taste'는 명사로 사용됩니다. D 'smells'는 현재형 동사입니다. 예시: ‘The flowers smelled wonderful.’",Participles,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
10bf5069-b09f-44e1-8739-d45f9d6bc79e,The letter _____ by my brother yesterday.,write,was written,wrote,writing,B,"정답은 B입니다. 이 문장은 수동태로, 'was written'는 과거시제 수동태입니다. 주어는 생략되고 동사 'write'가 'was'와 결합하여 사용됩니다. A 'write'는 현재시제입니다. C 'wrote'는 과거시제에 해당하지만, 수동태 문장에서는 'was written'를 사용해야 합니다. D 'writing'은 현재진행형으로, 수동태 문장에서는 사용될 수 없습니다. 예시: 'The window was broken by the children.', 'The cake was eaten.'",Passive Voice,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
c5f4f999-f30c-478f-adff-d30928902076,The new road _____ last year.,build,was built,built,building,B,"정답은 B입니다. 이 문장은 과거시제 수동태로, 'was built'는 주어 'The new road'에 대한 과거시제 수동태입니다. A 'build'는 현재시제입니다. C 'built'는 과거형이지만, 수동태 문장에서는 'was built'를 사용해야 합니다. D 'building'은 현재진행형으로, 수동태 문장에서는 사용될 수 없습니다. 예시: 'The house was painted last week.', 'The bridge was completed in 2023.'",Passive Voice,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
bada376f-3028-47a2-8be8-7440df65a50e,The car _____ by a thief.,steal,was stolen,stole,stealing,B,"정답은 B입니다. 이 문장은 과거시제 수동태로, 'was stolen'는 주어 'The car'에 대한 과거시제 수동태입니다. A 'steal'는 현재시제입니다. C 'stole'는 과거형이지만, 수동태 문장에서는 'was stolen'를 사용해야 합니다. D 'stealing'은 현재진행형으로, 수동태 문장에서는 사용될 수 없습니다. 예시: 'The money was stolen from the bank.', 'The jewels were taken by robbers.'",Passive Voice,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
541c0c2f-3264-4058-952d-8669839637b8,The windows _____ every morning.,clean,are cleaned,cleaned,cleaning,B,"정답은 B입니다. 이 문장은 현재진행형 수동태로, 'are cleaned'는 주어 'The windows'에 대한 현재진행형 수동태입니다. A 'clean'는 현재시제입니다. C 'cleaned'는 과거형이지만, 수동태 문장에서는 'are cleaned'를 사용해야 합니다. D 'cleaning'은 현재진행형으로, 수동태 문장에서는 사용될 수 없습니다. 예시: 'The garden is cleaned by the gardener.', 'The streets are swept regularly.'",Passive Voice,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
c8a40a79-f9e6-4372-aeb4-2260583fea0c,The book _____ by many students.,read,was read,reads,reading,B,"정답은 B입니다. 이 문장은 과거시제 수동태로, 'was read'는 주어 'The book'에 대한 과거시제 수동태입니다. A 'read'는 현재시제입니다. C 'reads'는 3인칭 단수 현재형으로, 수동태 문장에서는 사용될 수 없습니다. D 'reading'은 현재진행형으로, 수동태 문장에서는 사용될 수 없습니다. 예시: 'The article was read by the teacher.', 'The report was reviewed carefully.'",Passive Voice,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
30c68926-3c81-4d4e-92c9-ed844bf51948,She _____ to school every day.,go,goes,going,gone,B,"정답은 B입니다. 'She'는 3인칭 단수 주어이므로, 현재시제에서 동사 원형을 사용해야 합니다. 'goes'가 맞습니다. A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'He goes to work by bus.', 'They go home together.'",Tenses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
55662f53-7dc8-429d-bc9a-b57ceff681fc,I _____ a book yesterday.,see,saw,sees,seeing,B,"정답은 B입니다. 'yesterday'는 과거를 나타내므로, 과거 시제를 사용해야 합니다. 'saw'가 맞습니다. A 'see'는 현재시제입니다. C 'sees'는 3인칭 단수 현재 시제입니다. D 'seeing'은 현재진행형입니다. 예시: ‘I saw a cat yesterday.’",Tenses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
b534d3f7-0ea5-4257-b4af-c718741c863f,He _____ coffee every morning.,drink,drinks,drinking,drunk,B,"정답은 B입니다. 'He'는 3인칭 단수 주어이므로, 현재시제 동사 원형 'drinks'를 사용합니다. A 'drink'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'drinking'은 현재진행형입니다. D 'drunk'는 과거분사로 완료시제에 사용됩니다. 예시: ‘She drinks tea every afternoon.’",Tenses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
ee640ba5-0097-40fc-9b36-24e15cb7ee60,We _____ a movie last night.,watch,watched,watches,watching,B,"정답은 B입니다. 'last night'는 과거를 나타내므로, 과거 시제를 사용해야 합니다. 'watched'가 맞습니다. A 'watch'는 현재시제입니다. C 'watches'는 3인칭 단수 현재 시제입니다. D 'watching'은 현재진행형입니다. 예시: ‘They watched TV last evening.’",Tenses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
edd6dda3-d8ab-46c1-9dbb-850eb390d676,She _____ to school every day.,go,goes,going,gone,B,"정답은 B입니다. 'She'는 3인칭 단수 주어이므로, 현재 시제 동사는 '-s'를 붙여 'goes'로 사용합니다. A 'go'는 1인칭, 2인칭, 복수주어에 사용됩니다. C 'going'은 현재진행형이나 동명사로 사용되어 여기서는 부적절합니다. D 'gone'은 과거분사로 완료시제에 사용됩니다. 예시: 'He goes to work by bus.', 'They go home together.'",Prepositions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
36c4a9cd-5d22-458f-a162-d29d23b2a511,The book is _____ the table.,on,in,at,under,A,"정답은 A입니다. 'on'은 일반적으로 평평한 표면 위에 있는 것을 나타내는 전치사입니다. B 'in'은 일반적으로 공간의 안쪽에 있는 것을 나타냅니다. C 'at'은 특정 지점이나 위치를 나타냅니다. D 'under'는 아래에 있는 것을 나타냅니다. 예시: ‘The book is on the table.’, ‘The cat is on the mat.’",Prepositions,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
