id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,grammar_type,difficulty_level,created_at,updated_at
63caa717-1db8-4e4a-bd47-14fa5f7744da,"If I _____ you, I would study harder.",am,was,were,is,C,"정답은 C입니다. 가정법 과거를 사용할 때는 주어 뒤에 'were'를 사용합니다. 문장 전체는 ‘만약 내가 당신이었더라면’이라는 가정의 의미를 담고 있습니다. A 'am'은 현재형, B 'was'는 과거형이지만 가정법 과거에는 적합하지 않습니다. D 'is'는 현재형입니다. 예시: ‘If I were rich, I would buy a big house.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
d0206a81-4551-40e2-badd-1b1f142ddf01,"If it _____ tomorrow, we won't go to the park.",rains,would,is,has,A,"정답은 A입니다. 미래의 조건에 대해 이야기하는 조건문 1유형(first conditional)입니다. 'if' 절에는 현재 시제 동사를 사용해야 합니다. 주어가 3인칭 단수 'it'이므로 'rains'가 맞습니다. 'If it rains tomorrow, we won't go to the park.' (내일 비가 오면, 우리는 공원에 가지 않을 것이다.)",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
2c4c1d95-6117-4502-a976-c6557a8c75b2,"If I _____ a car, I would travel around the world.",have,had,has,having,B,"정답은 B입니다. 가정법 과거를 사용할 때는 주어 뒤에 ‘had’를 사용합니다. 문장 전체는 ‘만약 내가 차가 있었다면’이라는 가정의 의미를 담고 있습니다. A 'have'는 현재형입니다. C 'has'는 현재 완료 시제입니다. D 'having'은 동명사로 사용되어 부적절합니다. 예시: ‘If he were a doctor, he would help many people.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
2854f2ef-3fe9-4994-ae80-b6a52f4c4472,"If you _____ me, I would be happy.",love,loved,loving,will love,B,"정답은 B입니다. 가정법 과거(second conditional) 문장으로, 'if' 절에는 동사의 과거형을 사용합니다. 따라서 'loved'가 맞습니다. 문장 전체는 ‘만약 당신이 나를 사랑한다면, 행복할 텐데’라는 현재 사실과 반대되는 가정을 나타냅니다. 예시: ‘If I knew the answer, I would tell you.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
7b35ee8c-631e-48ba-8724-24221953f9af,"If I _____ time, I would learn to play the guitar.",have,had,having,will have,B,"정답은 B입니다. 가정법 과거를 사용할 때는 주어 뒤에 ‘had’를 사용합니다. 문장 전체는 ‘만약 내가 시간이 있다면’이라는 가정의 의미를 담고 있습니다. A 'have'는 현재형입니다. C 'having'은 동명사로 사용되어 부적절합니다. D 'will have'는 미래시제입니다. 예시: ‘If he had more money, he would buy a new car.’",Conditionals,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
cd5036c5-ab0a-4e0c-b646-7681be4ca7f0,They _____ to the park last weekend.,go,went,goes,going,B,"정답은 B입니다. 'last weekend'는 과거를 나타내므로, 과거 시제를 사용해야 합니다. 'went'가 맞습니다. A 'go'는 현재시제입니다. C 'goes'는 3인칭 단수 현재 시제입니다. D 'going'은 현재진행형입니다. 예시: ‘They went to the beach last summer.’",Tenses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
6b09dbd3-b232-41d8-a37b-11519a6a2e56,"The book _____ on the table is mine.",lying,is lying,lay,lies,A,"정답은 A입니다. 'lying on the table'은 'the book'을 수식하는 현재분사구입니다. 'which is'가 생략된 형태로 볼 수 있습니다. (The book which is lying on the table is mine.) 따라서 'lying'이 맞습니다. B 'is lying'은 동사구가 되어 문장 구조에 맞지 않습니다. C 'lay'는 과거형, D 'lies'는 3인칭 단수 현재형 동사로, 이 자리에는 분사가 필요합니다. 예시: ‘The man talking to John is my brother.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
89a0a8a3-b326-4e74-8efd-f95c82899bbe,"This is the house _____ I grew up in.",that,which,where,whose,C,"정답은 C입니다. 관계부사 'where'는 장소를 나타내는 선행사 'the house'를 수식합니다. 'in which'와 같은 의미로 사용될 수 있습니다. B 'which'는 'in'과 함께 쓰여 'in which'가 되어야 완전한 문장이 됩니다. A 'that'도 'in that'으로 써야 합니다. D 'whose'는 소유격 관계대명사입니다. 예시: ‘This is the park where we first met.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
262df18e-9e3d-42f5-93da-610f7a2c7a15,"The man _____ I saw yesterday is a doctor.",whom,which,that,who,A,"정답은 A입니다. 목적격 관계대명사 'whom'이 필요합니다. 'I saw (the man) yesterday'에서 'the man'이 목적어 역할을 하므로 'whom'을 사용합니다. 구어체에서는 'who'나 'that'을 사용하기도 하며, 생략도 가능합니다. B 'which'는 사물에 사용합니다. D 'who'는 주격 관계대명사입니다. 예시: ‘The woman whom I met was very kind.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
9c077c27-35bd-4276-86c1-d48ff83be123,"The car _____ I bought is very fast.",which,that,where,whose,A,"정답은 A입니다. 사물을 선행사로 하는 목적격 관계대명사 'which' 또는 'that'이 올 수 있습니다. 여기서는 둘 다 정답이 될 수 있지만, 선택지 A 'which'가 더 명확한 답입니다. C 'where'는 장소, D 'whose'는 소유격 관계대명사입니다. 예시: ‘The book which I am reading is interesting.’",Relative Clauses,beginner,2025-08-20 04:50:35.304173+00,2025-08-20 04:50:35.304173+00
